actor	15 Minutes	McCrary, Darius	Detective Tommy Cullen
actor	15 Minutes	Poulos, George	Greek Waiter
actor	15 Minutes	Primus, Barry	Cab Driver
actor	15 Minutes	Roch�, Sebastian	Ludwig the Hairdresser
actor	15 Minutes	Roden, Karel	Emil Slovak
actor	15 Minutes	Runyan, Tygh	Stephen Geller
actor	15 Minutes	Stamboulis, Spero	Nicolette's Cameraman
actor	15 Minutes	Stanton, William	Garcia
actor	15 Minutes	Taktarov, Oleg	Oleg Razgul
actor	15 Minutes	Wall, Ron	Police Officer #2
actor	15 Minutes	Yelchin, Anton	Boy in Burning Building
movie	1941	1979
director	1941	Spielberg, Steven
actress	1941	Allen, Nancy	Donna Stratton
actress	1941	Backlinie, Susan	Polar Bear Woman
actress	1941	Benson, Deborah	USO Girl
actress	1941	Benson, Lucille	Gas Mama
actress	1941	Culver, Carol	Anderson Sister
actress	1941	Dooling, Lucinda	Lucinda
actress	1941	Gaines, Marjorie	Anderson Sister
actress	1941	Gallup, Denise	Twin
actress	1941	Gallup, Dian	Twin
actress	1941	Gannen, Barbara	Interceptor Assistant
actress	1941	Garland, Trish	Anderson Sister
actress	1941	Gary, Lorraine	Joan Douglas
actress	1941	Hardin, Diane	Interceptor Assistant
actress	1941	Kay, Dianne	Betty Douglas
actress	1941	Landers, Audrey	USO Girl
actress	1941	LuPone, Patti	Lydia Hedberg
actress	1941	Molinari, Antoinette	Mrs. Scioli
actress	1941	Sherman, Kerry	USO Girl
actress	1941	Sperber, Wendie Jo	Maxine Dexheimer
actress	1941	Taggart, Rita	Reporter
actress	1941	Teefy, Maureen	USO Girl
actress	1941	Williams, Carol Ann	USO Girl
actress	1941	Williams, Jenny	USO Girl
actor	1941	Aykroyd, Dan	Sgt. Frank Tree
actor	1941	Beagle, E. Hampton	Phone Man
actor	1941	Beatty, Ned	Ward Douglas
actor	1941	Belushi, John	Capt. Wild Bill Kelso
actor	1941	Brian, Jordan	Macey Douglas
actor	1941	Calfa, Don	Telephone Operator
actor	1941	Cameron, Dave	Reporter
actor	1941	Candy, John	Pvt. Foley
actor	1941	Carenzo, Vito	Vito - Shore Patrol
actor	1941	Carlton, Mark	Stilwell Aide
actor	1941	Cervantes, Gary Carlos	Zoot Suiter
actor	1941	Cloud, Paul	Stilwell Aide
actor	1941	Contreras, Luis	Zoot Suiter
